"Id","ListingCreationYear","Occupation","mean_loanOriginalAmount","median_loanOriginalAmount","sum_loanOriginalAmount","mean_amountDelinquent","median_amountDelinquent","sum_amountDelinquent","mean_investors","median_investors","sum_investors","mean_prosperScore","median_prosperScore","sum_prosperScore","mean_estimatedLoss","median_estimatedLoss","sum_estimatedLoss","mean_estimatedReturn","median_estimatedReturn","sum_estimatedReturn","mean_statedMonthlyIncome","median_statedMonthlyIncome","sum_statedMonthlyIncome","mean_creditScoreRangeLower","median_creditScoreRangeLower","sum_creditScoreRangeLower","mean_monthlyLoanPayment","median_monthlyLoanPayment","sum_monthlyLoanPayment","mean_borrowerAPR","median_borrowerAPR","sum_borrowerAPR","mean_borrowerRate","median_borrowerRate","sum_borrowerRate","mean_debtToIncomeRatio","median_debtToIncomeRatio","sum_debtToIncomeRatio","mean_term","median_term","sum_term","count"
"1",2005,"",3855.95652173913,3000,88687,NA,NA,NA,5.17391304347826,5,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,10947.463768087,9166.666667,251791.666666,NA,NA,NA,111.80652173913,88.12,2571.55,NA,NA,NA,0.0935413043478261,0.085,2.15145,0.0847504347826087,0.02743,1.94926,36,36,828,23
"2",2006,"",4559.46907924874,3000,9953321,NA,NA,NA,46.1667430142006,31,100782,NA,NA,NA,NA,NA,NA,NA,NA,NA,5116.57909604352,4083.333333,11169492.166663,NA,NA,NA,158.899019697664,114.96,346876.56,NA,NA,NA,0.186858909757215,0.18,407.913,NA,NA,NA,36,36,78588,2183
"3",2006,"Accountant/CPA",5314.61797752809,3500,473001,NA,NA,NA,69.2808988764045,52,6166,NA,NA,NA,NA,NA,NA,NA,NA,NA,5648.11891391011,5000,502682.583338,638.876404494382,640,56860,190.383258426966,125.72,16944.11,0.184825617977528,0.17722,16.44948,0.176229213483146,0.17,15.6844,NA,NA,NA,36,36,3204,89
"4",2006,"Administrative Assistant",4211.96350364963,3000,577039,NA,NA,NA,55.4306569343066,34,7594,NA,NA,NA,NA,NA,NA,NA,NA,NA,3056.92457421168,2789.166667,418798.666667,571.094890510949,560,78240,153.082919708029,117.84,20972.36,0.218957153284672,0.22744,29.99713,0.209828467153285,0.22,28.7465,NA,NA,NA,36,36,4932,137
"5",2006,"Analyst",4929.50819672131,3640,601400,NA,NA,NA,69.983606557377,49.5,8538,NA,NA,NA,NA,NA,NA,NA,NA,NA,6265.19262295902,4583.333333,764353.500001,NA,NA,NA,169.704180327869,125.535,20703.91,0.174106229508197,0.15713,21.24096,0.165196721311475,0.15,20.154,0.161864426229508,0.14,19.74746,36,36,4392,122
"6",2006,"Architect",4780,5500,47800,NA,NA,NA,73.5,57.5,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,5488.3000002,4479.166667,54883.000002,624,620,6240,155.945,138.805,1559.45,0.184676,0.186755,1.84676,0.17609,0.1795,1.7609,0.203,0.2,2.03,36,36,360,10
"7",2006,"Attorney",8390.05,4975,167801,NA,NA,NA,98.65,46.5,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,9765.5666667,8583.3333335,195311.333334,669,660,13380,290.446,180.545,5808.92,0.1850835,0.17722,3.70167,0.175945,0.17,3.5189,0.2105,0.21,4.21,36,36,720,20
"8",2006,"Biologist",2250,2250,4500,NA,NA,NA,28,28,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,3937.5,3937.5,7875,580,580,1160,85.105,85.105,170.21,0.25346,0.25346,0.50692,0.24,0.24,0.48,0.14,0.14,0.28,36,36,72,2
"9",2006,"Bus Driver",3657.14285714286,2500,25600,NA,NA,NA,39.8571428571429,36,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,2385.11904771429,2083.333333,16695.833334,591.428571428571,620,4140,137.951428571429,83.81,965.66,0.20637,0.23748,1.44459,0.196571428571429,0.22,1.376,0.485714285714286,0.19,3.4,36,36,252,7
"10",2006,"Car Dealer",6814.28571428571,5200,47700,NA,NA,NA,117.285714285714,123,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,5400.21428571429,5000,37801.5,605.714285714286,600,4240,244.742857142857,203.74,1713.2,0.186641428571429,0.1963,1.30649,0.178714285714286,0.189,1.251,0.245714285714286,0.2,1.72,36,36,252,7
